"total";"month"
"362517";"ΜΗΝΑΣ: Ιανουάριος 2011"
"333197";"ΜΗΝΑΣ: Φεβρουάριος 2011"
"412673";"ΜΗΝΑΣ: Μάρτιος 2011"
"669391";"ΜΗΝΑΣ: Απρίλιος 2011"
"1342966";"ΜΗΝΑΣ: Μάιος 2011"
"2183411";"ΜΗΝΑΣ: Ιούνιος 2011"
"2984058";"ΜΗΝΑΣ: Ιούλιος 2011"
"3352934";"ΜΗΝΑΣ: Αύγουστος 2011"
"2588707";"ΜΗΝΑΣ: Σεπτέμβριος 2011"
"1428961";"ΜΗΝΑΣ:Οκτώβριος 2011"
"423107";"ΜΗΝΑΣ: Νοέμβριος 2011"
"345325";"ΜΗΝΑΣ: Δεκέμβριος 2011"
"352320";"ΜΗΝΑΣ: Ιανουάριος 2012"
"266067";"ΜΗΝΑΣ: Φεβρουάριος 2012"
"360172";"ΜΗΝΑΣ: Μάρτιος 2012"
"625838";"ΜΗΝΑΣ: Απρίλιος 2012"
"1179714";"ΜΗΝΑΣ: Μάϊος 2012"
"2043693";"ΜΗΝΑΣ: Ιούνιος 2012"
"2863095";"ΜΗΝΑΣ: Ιούλιος 2012"
"3269203";"ΜΗΝΑΣ: Αύγουστος 2012"
"2522888";"ΜΗΝΑΣ: Σεπτέμβριος 2012"
"1310986";"ΜΗΝΑΣ: Οκτώβριος 2012"
"392800";"ΜΗΝΑΣ: Νοέμβριος 2012"
"330846";"ΜΗΝΑΣ: Δεκέμβριος 2012"
"365605";"ΜΗΝΑΣ: Ιανουάριος 2013"
"295652";"ΜΗΝΑΣ: Φεβρουάριος 2013"
"362098";"ΜΗΝΑΣ: Μάρτιος 2013"
"557496";"ΜΗΝΑΣ: Απρίλιος 2013"
"1467134";"ΜΗΝΑΣ: Μάϊος 2013"
"2372846";"ΜΗΝΑΣ: Ιούνιος 2013"
"3263921";"ΜΗΝΑΣ: Ιούλιος 2013"
"3885717";"ΜΗΝΑΣ: Αύγουστος 2013"
"2963439";"ΜΗΝΑΣ: Σεπτέμβριος 2013"
"1547626";"ΜΗΝΑΣ: Οκτώβριος 2013"
"435303";"ΜΗΝΑΣ: Νοέμβριος 2013"
"402744";"ΜΗΝΑΣ: Δεκέμβριος 2013"
"404292";"ΜΗΝΑΣ: Ιανουάριος 2014"
"325953";"ΜΗΝΑΣ: Φεβρουάριος 2014"
"456655";"ΜΗΝΑΣ: Μάρτιος 2014"
"727963";"ΜΗΝΑΣ: Απρίλιος 2014"
"1651703";"ΜΗΝΑΣ: Μάιος 2014"
"2697470";"ΜΗΝΑΣ: Ιούνιος 2014"
"4222873";"ΜΗΝΑΣ: Ιούλιος 2014"
"4856356";"ΜΗΝΑΣ: Αύγουστος 2014"
"3643695";"ΜΗΝΑΣ: Σεπτέμβριος 2014"
"1840599";"ΜΗΝΑΣ: Οκτώβριος 2014"
"668174";"ΜΗΝΑΣ: Νοέμβριος 2014"
"537728";"ΜΗΝΑΣ: Δεκέμβριος 2014"
"606140";"ΜΗΝΑΣ: Ιανουάριος 2015"
"509189";"ΜΗΝΑΣ: Φεβρουάριος 2015"
"613092";"ΜΗΝΑΣ: Μάρτιος 2015"
"934237";"ΜΗΝΑΣ: Απρίλιος 2015"
"1870170";"ΜΗΝΑΣ: Μάιος 2015"
"3032870";"ΜΗΝΑΣ: Ιούνιος 2015"
"4408555";"ΜΗΝΑΣ: Ιούλιος 2015"
"4993465";"ΜΗΝΑΣ: Αύγουστος 2015"
"3649700";"ΜΗΝΑΣ: Σεπτέμβριος 2015"
"1852679";"ΜΗΝΑΣ: Οκτώβριος 2015"
"641459";"ΜΗΝΑΣ: Νοέμβριος 2015"
"487900";"ΜΗΝΑΣ: Δεκέμβριος 2015"
